DATE,SPPOP65UPTOZSUSA
2002-01-01,12.2874577893554
2003-01-01,12.2779342993686
2004-01-01,12.3047192322804
2005-01-01,12.3601628768533
2006-01-01,12.422071948027
2007-01-01,12.507803700301
2008-01-01,12.6708585039901
2009-01-01,12.8562585688817
2010-01-01,13.0281784974361
2011-01-01,13.2702031218742
2012-01-01,13.5844369333927
2013-01-01,13.8910756761845
2014-01-01,14.1355633751345
2015-01-01,14.3277540980291
2016-01-01,14.672311496844
2017-01-01,15.0662903997382
2018-01-01,15.3976975750778
2019-01-01,15.7918008297391
2020-01-01,16.2234001500798
2021-01-01,16.6788954868121
2022-01-01,17.1281205454528
